Channel,Elevation,Azimuth
1, 14.979 ,0.009 
2, 13.964 ,0.003 
3, 12.955 ,0	 
4, 11.945 ,0.006 
5, 10.937 ,0.004 
6, 9.932  ,-0.006
7, 8.931  ,-0.009
8, 7.927  ,-0.014
9, 6.922  ,-0.022
10,5.922  ,-0.026
11,4.924  ,-0.033
12,3.925  ,-0.039
13,2.926  ,-0.045
14,1.929  ,-0.049
15,0.934  ,-0.057
16,-0.061 ,-0.064
17,-1.056 ,-0.072
18,-2.051 ,-0.078
19,-3.049 ,-0.083
20,-4.046 ,-0.085
21,-5.041 ,-0.087
22,-6.037 ,-0.091
23,-7.035 ,-0.095
24,-8.036 ,-0.095
25,-9.036 ,-0.1	 
26,-10.037,-0.104
27,-11.039,-0.108
28,-12.041,-0.112
29,-13.046,-0.12 
30,-14.061,-0.129
31,-15.071,-0.133
32,-16.096,-0.134
